T_ID,Departuretraine,Departure_Time,Traine_Duration_Minutes,train_Status,Distance_Miles,Travel_Purpose,Seat_Class,train_Satisfaction_Score,Delay_Minutes,No_Show,Weather_Impact
F68,Sushasan Express  ,3/27/2024 6:22,161,On-time,803,Emergency,Business,6.9,0,1,1
F1687,NDLS–LKO AC SF Express  ,12/28/2024 9:18,130,On-time,1605,Family,Business,5.3,2,0,0
F1745,Anand Vihar–Kamakhya Express  ,5/23/2024 23:28,169,On-time,908,Business,Economy,7,0,0,0
F1514,Katihar–Amritsar Express  ,10/31/2023 8:09,227,On-time,63,Leisure,Business,4.8,9,0,1
F1753,Ranikhet Express  ,1/17/2025 22:21,150,On-time,628,Family,Economy,4.4,3,0,0
F1928,Purushottam Express  ,2/15/2025 1:17,155,On-time,1409,Emergency,Business,4.4,11,0,0
F532,Brahmaputra Mail  ,10/30/2024 14:20,170,On-time,794,Emergency,Economy,4.9,17,0,0
F857,Kalindi Express  ,11-12-2023 13:05,82,On-time,1273,Emergency,Business,3.5,11,0,0
F16,Farakka Express,11/16/2023 0:44,191,On-time,1196,Emergency,Economy,8.2,16,0,0
F473,Sushasan Express  ,4/18/2025 1:27,201,On-time,1115,Emergency,Economy,4.5,1,0,1
F960,NDLS–LKO AC SF Express  ,4/29/2024 10:38,245,On-time,818,Business,Business,8.5,4,0,0
F170,Anand Vihar–Kamakhya Express  ,6/20/2023 14:41,101,On-time,1148,Business,Premium Economy,7.9,7,0,0
F1171,Katihar–Amritsar Express  ,2/28/2024 1:57,108,Delayed,1167,Emergency,Economy,5.4,13,0,0
F1788,Ranikhet Express  ,9/18/2024 7:37,237,On-time,1544,Business,Economy,5.1,3,0,0
F377,Purushottam Express  ,5/13/2024 12:05,188,On-time,596,Business,Business,4.1,8,0,0
F484,Brahmaputra Mail  ,05-12-2023 20:15,228,On-time,1256,Business,Business,7.5,3,0,0
F1631,Sushasan Express  ,10/19/2023 19:34,85,On-time,1012,Emergency,Premium Economy,6.5,11,0,0
F170,NDLS–LKO AC SF Express  ,4/13/2024 1:27,232,On-time,1196,Family,Premium Economy,7.9,12,0,0
F478,Anand Vihar–Kamakhya Express  ,1/26/2024 1:03,167,Delayed,1240,Emergency,Economy,7.9,4,0,0
F362,Katihar–Amritsar Express  ,9/19/2024 0:55,83,On-time,1387,Leisure,Economy,4.9,2,0,0
F1143,Ranikhet Express  ,11/16/2023 21:04,248,On-time,1004,Emergency,Premium Economy,10,4,0,0
F39,Purushottam Express  ,8/24/2023 21:38,229,On-time,1278,Family,Economy,3,9,1,1
F1663,Brahmaputra Mail  ,02-11-2025 07:57,87,On-time,902,Business,Economy,3.9,3,0,0
F290,Kalindi Express  ,5/25/2023 0:18,256,Cancelled,1328,Leisure,Economy,8.4,16,0,0
F888,Farakka Express,08-06-2023 21:18,238,On-time,959,Leisure,Economy,4.5,6,0,0
F1447,Sushasan Express  ,5/26/2024 10:14,138,On-time,1397,Leisure,Economy,6.7,6,0,0
F47,NDLS–LKO AC SF Express  ,02-06-2025 21:23,117,On-time,1059,Leisure,Premium Economy,6.9,14,0,0
F556,Anand Vihar–Kamakhya Express  ,6/30/2023 13:32,169,On-time,1403,Business,Economy,5.9,7,0,0
F427,Katihar–Amritsar Express  ,1/13/2025 20:17,192,On-time,1096,Emergency,Economy,4,2,0,1
F939,Ranikhet Express  ,06-06-2023 21:53,145,On-time,1272,Family,Economy,6.6,11,0,0
F922,Purushottam Express  ,12-11-2023 09:10,100,Cancelled,1615,Leisure,Economy,5.2,7,0,0
F127,Brahmaputra Mail  ,3/20/2024 19:22,224,On-time,875,Business,Economy,9.1,2,0,0
F602,Sushasan Express  ,9/19/2024 7:53,241,Delayed,1188,Leisure,Economy,5.7,0,0,0
